super_bowl,super_bowl_number,date,network,average_viewers,total_viewers,household_rating,household_share,cost_of_30_second_ad_usd
I,1,1967-01-15,NBC,24430000,35600000.0,18.5,36,37500
II,2,1968-01-14,CBS,39120000,51300000.0,36.8,68,54500
III,3,1969-01-12,NBC,41660000,54500000.0,36.0,70,55000
IV,4,1970-01-11,CBS,44270000,59200000.0,39.4,69,78200
V,5,1971-01-17,NBC,46040000,58500000.0,39.9,75,72500
VI,6,1972-01-16,CBS,56640000,67300000.0,44.2,74,86100
VII,7,1973-01-14,NBC,53320000,67700000.0,42.7,72,88100
VIII,8,1974-01-13,CBS,51700000,63200000.0,41.6,73,103500
IX,9,1975-01-12,NBC,56050000,71300000.0,42.4,72,107000
X,10,1976-01-18,CBS,57710000,73300000.0,42.3,78,110000
XI,11,1977-01-09,NBC,62050000,81900000.0,44.4,73,125000
XII,12,1978-01-15,CBS,78940000,102010000.0,47.2,67,162300
XIII,13,1979-01-21,NBC,74740000,96630000.0,47.1,74,185000
XIV,14,1980-01-20,CBS,76240000,97800000.0,46.3,67,222000
XV,15,1981-01-25,NBC,68290000,94120000.0,44.4,63,275000
XVI,16,1982-01-24,CBS,85240000,110230000.0,49.1,73,324300
XVII,17,1983-01-30,NBC,81770000,109040000.0,48.6,69,400000
XVIII,18,1984-01-22,CBS,77620000,105200000.0,46.4,71,368200
XIX,19,1985-01-20,ABC,85530000,115940000.0,46.4,63,525000
XX,20,1986-01-26,NBC,92570000,127060000.0,48.3,70,550000
XXI,21,1987-01-25,CBS,87190000,119700000.0,45.8,66,600000
XXII,22,1988-01-31,ABC,80140000,114600000.0,41.9,62,645000
XXIII,23,1989-01-22,NBC,81590000,110780000.0,43.5,68,675000
XXIV,24,1990-01-28,CBS,73850000,109900000.0,39.0,63,700400
XXV,25,1991-01-27,ABC,79510000,112130000.0,41.9,63,800000
XXVI,26,1992-01-26,CBS,79590000,119680000.0,40.3,61,850000
XXVII,27,1993-01-31,NBC,90990000,133400000.0,45.1,66,850000
XXVIII,28,1994-01-30,NBC,90000000,134840000.0,45.5,66,900000
XXIX,29,1995-01-29,ABC,83420000,125220000.0,41.3,62,1150000
XXX,30,1996-01-28,NBC,94080000,138490000.0,46.0,68,1085000
XXXI,31,1997-01-26,Fox,87870000,128900000.0,43.3,65,1200000
XXXII,32,1998-01-25,NBC,90000000,133400000.0,44.5,67,1291100
XXXIII,33,1999-01-31,Fox,83720000,127500000.0,40.2,61,1600000
XXXIV,34,2000-01-30,ABC,88470000,130740000.0,43.3,63,2100000
XXXV,35,2001-01-28,CBS,84340000,131200000.0,40.4,61,2200000
XXXVI,36,2002-02-03,Fox,86800000,131700000.0,40.4,61,2200000
XXXVII,37,2003-01-26,ABC,88640000,138900000.0,40.7,61,2200000
XXXVIII,38,2004-02-01,CBS,89800000,144400000.0,41.4,63,2302200
XXXIX,39,2005-02-06,Fox,86070000,133700000.0,41.1,62,2400000
XL,40,2006-02-05,ABC,90750000,141400000.0,41.6,62,2500000
XLI,41,2007-02-04,CBS,93180000,139780000.0,42.6,64,2385365
XLII,42,2008-02-03,Fox,97450000,148300000.0,43.1,65,2699963
XLIII,43,2009-02-01,NBC,98730000,151600000.0,42.0,64,3000000
XLIV,44,2010-02-07,CBS,106480000,153400000.0,45.0,68,2800000
XLV,45,2011-02-06,Fox,111040000,162900000.0,46.0,69,2948649
XLVI,46,2012-02-05,NBC,111350000,159200000.0,47.0,71,3442752
XLVII,47,2013-02-03,CBS,108690000,164100000.0,46.4,69,3765130
XLVIII,48,2014-02-02,Fox,112190000,,46.7,69,4084864
XLIX,49,2015-02-01,NBC,114440000,161300000.0,47.5,71,4283129
L,50,2016-02-07,CBS,111860000,167000000.0,46.6,72,4800000
LI,51,2017-02-05,Fox,111320000,172000000.0,45.3,70,5399873
LII,52,2018-02-04,NBC,103470000,,43.1,68,5235379
LIII,53,2019-02-03,CBS,98480000,149000000.0,41.1,67,5199916
LIV,54,2020-02-02,Fox,101320000,148500000.0,41.6,69,5400000
LV,55,2021-02-07,CBS,98200000,,38.2,68,5500000
